,hebrewFromSub,englishFromSub,englishTranslation,ratio
605,""" מוות מביט אליי ממרומי הקורדובה""",Death stares at me From the towers of Cordoba ,"""Death looks at me from the heights of Cordoba""",69
606,-תגידי לי שפשוט הפלתי אותך מהכיסה   גרתי במדריד במשך 3 שנים,Tell me I just blew your mind I was stationed in Madrid for three years ,- Tell me I just knocked you out of my pocket I lived in Madrid for 3 years,65
607,לא הייתי מוכן לגור בשום מקום 3 שנים ולא לדעת מה אנשים אחרים מדברים עליי  פטרון זה לא היה קל,I wasn't gonna stay anywhere for three years and not know what people were saying about me Patron it has not been easy ,I was not willing to live anywhere for 3 years and not knowing what other people are talking about me patron it was not easy,73
608,עבדתי קשה ממש קשה בשביל האנשים האלה ,I have worked very hard with these people ,I worked really hard for these people,67
609,אנחנו ממש קרובים  ,We are very close ,We are really close,83
610,-אבל יש בעיה,But there is a problem ,-but there is a problem,100
611,מההבעיה ,But there is a problem ,What is the problem,68
612,הדברים לא כמו שהיו פעם למשל 200 מיליון פסו זה לא מה שזה היה  והאנשים האלה באיגוד חכמים יותר ממה שהם היו ,Well things are not what they used to be For instance 200 million pesos is not what it used to be And these people in the union are smarter than what they used to be ,Things are not as they used to be for example 200 million pesos is not what it was and these people in the union are smarter than they were,84
613,וזהעודלא הכל  והאנשים האלה לא מכבדים את השם של טיברון מנדז ,And there's more of them And these people do not respect the name of Tiburon Mendez ,And that's not everything and these people do not respect the name of Tibron Mendez,83
614,בשבילם זה רק עיניין של כסף ,For them it's only a matter of money ,For them it's just a matter of money,86
615,ולכן הם לקחו את ההצעה שלך כעלבון ,So they took your offer as an insult ,So they took your offer as an insult,100
616,האמריקני למרות שהוא חבר שלך הוא העליבאותנופעמיים!,The American though he is your friend he insulted us twice ,The American even though he's your friend is insulting!,79
617,אזאיךפגשתאתטיבי ,- You like that one ,Then I met you,65
618,איךזהקרה ,How did that happen ,How did it happen,89
619,אני מכירה את טיבי מאז שאני זוכרת את עצמי  הוא ואבא שלי היו ביחד בעסקים ,Well I've known Tibey for as long as I can remember He and my father were in business together ,I have known Tibi since I can remember he and my dad were in business together,77
620,טיבי הציל אותו מפשיטת רגל ומאז הם הפכו להיות חברים הכי טובים ,Tibey rescued him from bankruptcy and they became close friends ,Tibi saved him from bankruptcy and since then they have become best friends,77
621,זה לא מנומס לחקות אנשים  ,- It's not polite to mimic people ,It is not polite to imitate people,80
622,-או אני יודעת ,- Oh I know ,- Or I know,89
623,אבל לא ככה זה עובד ,Well that's not how it was ,But that's not how it works,75
624,התחתנתי עם טיבי כי הייתי מהואבת בו ,I married Tibey because I was in love with him ,I married Tibi because I was in love with him,97
625,-כן,Yes ,-Yes,100
626,-על לא דבר,One more thing ,-For nothing,72
627,זאת תהיה הודעה על תמיכתו במנדוזה,It will be an announcement of support for Mendoza ,This will be an announcement of his support for Mendoza,92
628,נתת לי נאום ארוך על איך שהדברים השתנו ,You make a long speech about how things have changed ,You gave me a long speech about how things have changed,93
629,אתהחושבשתוכללהרצותלי  בביתשלי! ,You think to lecture me in my own house ,You think you can please me in my house!,69
630,אתה מעליב את האורח שלי  אוליאתהחושבשאתהזהאני ,Or hunting You prefer hunting ,You're insulting my guest,63
631,בואנישאלאת הטיפש  אתהחושבשהואזהאני ,You think to lecture me in my own house ,Let's we marry the fool you think is me,62
632,- פטרון אם העלבתי אותך  ,Patron if I have offended you-,Patron If I insulted you,72
633,-לא לא שניכם אבלהטעותשלכםהיאחסרתמשמעות   אני תמיד יכול לקנות תמיכה ,No no Both of you But your mistake means nothing ,-No not both of you but your mistake is meaningless I can always buy support,67
634,רוצהלעבודבשבילי ,You want to work for me ,Want to work for me,90
635,הוא אמין אבל לא חכם במיוחד ,He's loyal but not very smart ,He is reliable but not very smart,74
636,לאןאתהולכת ,- Where are you going ,Where are you going,100
637,-למיטה לא בואי הנה בואי הנה בבקשה אנא שבי  ,- To bed No come here Come here please ,- For the bed do not come here come here please please sit down,72
638,מהקרה ,What happened ,What happened,100
639,אנירוצהלשאולאותךמשהו  ואני רוצה שתגיד לי את האמת ,I want to ask you something and I want you to tell me the truth ,I want to ask you something and I want you to tell me the truth,100
640,- לא יודע    ,- Oh I know ,- Do not know,70
641,אין לי מושג אוליהואעזבמוקדםיותר  ,I have no answer Maybe he left early ,I have no idea maybe he left earlier,78
642,תגיד לי את האמת טיבי,Tell me the truth Tibey ,Tell me the truth Tibi,93
643,הבאתי את הספר זה בשבילך ,I brought the book It's for you ,I brought this book for you,86
644,רציתי לקחת את רוקי לריצה על החוף רוצהלבוא ,Um   I was gonna take Rocky for a walk on the beach Do you want to come ,I wanted to take Rocky for a run on the beach and want to come,73
645,- איזה חלק ,- What part ,- Which part,74
646,"לא לדעת אם הוא יעשה את זה ""   "" חלק ","The ""not knowing if he'll do it"" part ","Not knowing if he will make it """" smooth",67
647,-כן זה מעולה   ,- Yeah it's great ,-Yes it's great,90
648,יאללה רוק ,Come on Rock ,Come on rock,100
649,הייתי ,I was once ,I was,67
650,אני גרוש עכשיו ,I'm divorced now ,I'm divorced now,100
651,מהקרה ,What happened ,What happened,100
652,אני מצטערת אתה לא חייב לענות אני מניח שהייתי נשוי גם למטוסים כמו שהייתי נשוי לה ,- I'm sorry You don't have to answer - No I was-,I'm sorry you do not have to answer I guess I was as married to planes as I was to her,65
653,מהאתהעושהכאן ,What are you doing here ,what are you doing here,100
654,סליחה ,- Sorry ,Sorry,100
655,-במקסיקו מהאתהעושה ,- In Mexico - What are you doing ,- In Mexico what you do,86
656,אתהאמת ,The truth ,The truth,100
657,האמת היא שהייתי משועמם,Well the truth is I was bored ,"The truth is, I was bored",91
658,אל תביני אותי לא נכון טיבי ואני תמיד דיברנו על זה שאני אבוא לכאן רקלאחשבתישזה יהיהכלכך מהר  ,Don't get me wrong Tibey and I talked about me coming down I just - I didn't think that it would be so soon ,Don't get me wrong Tibi and I always talked about coming here just thinking I would be so quick,75
659,- אני לא בטוחה שאני יודעת למה אתה מתכוון   זה אומר שהחברים שלי הזהירו אותי שזהמהשיקרהלי  אף פעם לא הצטיינתי בלהקשיב לעצותשלאחרים אז  גם אני לא ,I'm not sure I know what you mean It means my buddies warned me that this would happen I've never been famous for taking advice so  ,- I'm not sure I know what you mean it means my friends warned me that it's a lie I never excelled at listening to the advice of others so neither do I.,65
660,- גם את לא ,- Me neither ,- Neither do you,67
661,- נשמע כמוני   את ניראת שונה,Sounds like me You seem different ,- Sounds like me you look different,85
662,אתה מתכוון לא הכלבה שאניבדרךכלל ,You mean not a cold bitch like I usually am ,You mean not the bitch I usually am,79
663,אני לא  ,I didn't,I do not,62
664,אני לא אמרתי את זה ,- I didn't say that ,I did not say that,80
665,זהנכוןאבל  אני לא אוהבת להיות כזאת כלהאנשיםשבאיםאלינוהביתה  אתהיודע ראית  הדברים הם אחרת שם טיביאומרשאנילאמבינה  אתלאצריכהלהסבירלי ,But it's true I don't like being that way you know but the people who come to our house   Well you know you've seen them ,"It's true, but I do not like to be like all the people who come to us at home.",62
666,אני חושבת ששכחתי איך לדבר עם אנשים ,I think I've forgotten how to talk to people ,I think I forgot how to talk to people,93
667,רוצהללמדאותיאתהתרגילעםרוקי ,You want to teach me the trick with Rocky ,Want to teach me the exercise with Rocky,77
668,-בטח רוק!,- Yes Rock ,- Sure rock!,71
669,אתהבטוח ,Are you sure ,Are you sure,100
670,מהאמרת ,What did you say ,what did you say,100
671,לא אמרתי כלום אבל רוקי  חושבשאתצריכהלהיותעםכיסויעיניים ,I didn't say anything but Rocky thinks you ought to have a blindfold ,I did not say anything but Rocky thinks you should be wearing blindfolds,77
672,אחד  שתיים  שלוש!,One two three Go Rock!,One two three!,76
673,אתהכזהחכם !,Are you sure ,You're so smart!,67
674,אניחושבתשטעיתילגביך  חשבתי שאתה אחד מהחברים הותיקיםשלטיבי  אתה יודע הם משחקים תמיד ישבחורותבסביבה  אזתתביישילך  ,I think I have miscalculated you I thought you were another one of Tibey's old friends They play ,I think you were wrong about me. I thought you were one of the old friends.,73
675,אנימכיןלימונדה רוצה ,- No I know how to make lemonade ,I want to make lemonade,72
676,-כן בשמחה אתהצריךעזרה ,Yes I would - Do you need any help ,-Yes gladly you need help,71
677,לא אני יודע איך להכין לימונדה,- No I know how to make lemonade ,No I do not know how to make lemonade,90
678,כן זה נחמד,Yeah it's nice ,Yes it's nice,89
679,הכלבסדר ,No Everything's fine ,Everything is fine,89
680,לא הכל בסדר ,No Everything's fine ,Not everything is okay,76
681,אתהבטוחשאתהלאצריך עזרה  -כן,- Are you sure you don't need help ,You're sure you do not need help - yes,76
682,אתהמחפשמישהומר קוקראן ,Are you looking for someone Mr Cochran ,You're looking for someone Homer Kokran,75
683,לא מישהומחפשאותי ,No Is someone looking for me ,Nobody's looking for me,75
684,אתהלאניראהלי אני לאניראהלך טוב ,I don't like you You don't like me Right ,You do not look to me I will not look good to you,65
685,אז אם אני מחפש מישהו זה לאעיניינך הבנת ,If I'm looking for someone it's none of your business You understand ,So if I'm looking for someone it's not your business understanding,90
686,אתהכועסעליי ,Are you sure ,Are you mad at me,62
687,חשבתישאתהנהנהשם ,You're leaving aren't you ,I thought you were having fun there,60
688,-בחוץ ,Out ,-outside,60
689,-הדפוקים האלה מרמים כל המשחק ,This prick's been cheating the whole game ,-These bastards cheat the whole game,68
690,אתהלאיכוללהיותאנושי ,- Can't you humor him ,You can not be human,67
691,אני צריך טובה ,I need a favor ,I need a favor,100
692,הםלאיכוליםלנצח ,I mean can't they win ,They can never win,72
693,לא לא ככה ,Not like this ,No not like that,76
694,שילכו להזדיין  החברה האלה אילי חשובים לך אבלאיןלהםשום משמעותבעיניי טוב ,I mean fuck him These guys may be important but they don't mean shit to me ,Let's fuck these company illy are important to you ablain to no meaning in my eyes good,60
695,חוץ מזה אני לא יכול להרשות לעצמילהפסיד500דולר!,Besides I can't- I can't afford to lose 500 bucks ,Besides I can not afford to lose $ 500!,81
696,תגידלי למהאתה רוצהלהרוגאתכלהחבריםשלי ,Tell me Why do you want to kill all my friends ,Tell me why you want to kill all my friends,97
697,אולי אני יוצא מגדרי כאן ,Maybe I'm feeling out of my element down here ,Maybe I'm out of my mind here,65
698,אנילאיודע  אולי אתה זקוק לאיזה מנה שלהמבורגרוצ 'יפס ,Maybe you need some hamburger and some french fries ,I don't know if you need some hamburger chips,62
699,כיהיאיודעתשאנישונא אתהמוזיקההזאת  כיזאתהמוזיקהשגדלתיעליה   תרשה לי לשאול אותך משהו ,Every time we fight she plays that Ranchero music which she knows I hate It's the music I grew up with Let me ask you something ,"Because you know I love you, this is music, the music you grew up with, let me ask you something.",62
700,אתהחושבשאישתייפה ,Do you think my wife is beautiful ,You think my wife is beautiful,95
701,מה ,- What ,what,100
702,מהאתהרוצהשאניאגיד לך ,What do you want me to say ,What do you want me to tell you?,81
703,כמובן!,Of course ,of course!,100
704,מהאתעושה ,You don't do that ,What do you do,84
705,- מה אמרת ,What did you say ,- what did you say,100
706,לא אמרתי כלום ,- I didn't say anything ,I did not say anything,84
707,-אתה כועס אני לא כועס ,Are you angry with me No ,- You're angry I'm not angry,72
708,- אני לא יודעת מה לעשות   את לא יודעת מה לעשות אני לא יודעמהלעשות  אתהמגמגםשוב!,- I'm not angry - I don't know what to do - You don't know what to do ,- I do not know what to do you do not know what to do I do not know what to do you stutter again!,73
709,- מה שלא יהיה זה מה שאנחנו לא צריכים לעשות !,Whatever this is what we don't do ,- Whatever it is is what we should not do!,78
710,אסור לנו לשכוח מי אנחנו ואיפהאנחנונמצאים  הלו ,We don't forget who we are and where we are - Hello Madero ,We must not forget who we are and where we are,80
711,- בן-אדם איפה אתה ,Are you sure ,"- Man, where are you?",69
712,אני פה במקסיקו ,I'm down here in Mexico ,I'm here in Mexico,88
713,מהקרה ,How could that happen ,What happened,65
714,אניחושבשהתאהבתי  אתהחושבשהתאהבת ,I think I fell in love You think you fell in love ,I think I fell in love You think I fell in love,94
715,אתהלאעושהדבריםכאלה  ,You don't do that ,You do not do such things,67
716,-אני יודע במי ,I know With who ,- I know who,80
717,באישתו של טיבי ,- Tibey's wife ,In Tibi's wife,77
718,אנילאיודע  ,- I don't know ,I do not know,88
719,-כן בטח  הוא אמר לי להתקשר אליך!,Does he know Yes sure I mean he told me I should call you ,- Yeah sure he told me to call you!,61
720,טוב תקשיב לי טוב ,Now you listen to me ,Well listen to me well,62
721,תכניס את הדברים שלך לג'יפ תצא לכיווןהגבולופשוטתיסע  אתהמקשיבלי ,You put your shit in the truck point towards the border and drive ,Put your stuff in the jeep and head out to the border and just drive with me listening,65
722,אם אתה דופק פה אשה של מישהו אחר אז טיפול בקבוצה יעזור אבל שם זה עסק רציני והם יהרגו אותך,Are you listening to me Here if you fuck somebody's old lady you work it out in group therapy There that's serious and they'll shoot you ,If you knock someone else's wife here then group therapy will help but there it's serious business and they will kill you,64
723,אתהלאיודעשלטיברוןזהכריש ,Don't you know Tiburon means shark ,You do not know bronze shark signs,65
724,-אני יודע,- I don't know ,-I know,67
725,הוא בטח אומר לה שלום ב 4 והואיהיהבביתב5    אומרשלוםלמי ,It's just that they'll say goodbye at 4 and he'll be home at 5 Say goodbye to who ,He's probably saying hello to her at 4 and he's at home 5 saying hello to whoever,62
726,מה שקוראים לזה,I mean can't they win ,What they call it,63
727,-לא,No ,-No,100
728,אתהעוזב ,- You're angry ,You're leaving,77
729,אני לא חושב שיש לי את הזכותלהרגישמשהו  אתה חושב על זה שאתה יוצאעםאישהשלגבראחר ,I don't know that I have the right to feel anything where you're concerned You think that you're taking another man's wife ,I do not think I have the right to feel something you think about you going out with the woman of the future,61
730,-כן זאת דרך נכונה להסתכל עלזה  תשכח ממה שנכון או לא נכון,That's a pretty good way of looking at it Yeah Forget about right or wrong ,-Yes it's the right way to look at it Elsa will forget what is right or wrong,68
731,אם היה לך את הזמן האםהייתמבלהאותואיתי ביחד ,If you had the time would you spend it with me ,"If you had the time, you would spend time with me together",83
732,אמרתי לטיבי שאני נוסעת לבקר אותך במיאמילכמהימים  לא לא לא ,Well I've told Tibey I'm going to visit you in Miami for a few days No no no no no ,I told Tibi I'm going to visit you in Miami some days no no no,81
733,ג'יי אפשרלהיכנס ,Jay may I come in ,Jay can come in,69
734,אני בדרך לפגישה אני מקווהשלאאכפתלך  לא לא,I'm on my way to a meeting - I hope you don't mind - No no ,I'm on my way to a meeting. I hope you do not mind,93
735,אנא תשב,Please sit ,Please sit down,80
736,-תודה,Thank you ,-Thanks,67
737,הולךלאנשהו ,You going somewhere ,Going somewhere,88
738,לקבינהשלי  ישליראיוןיותרטוב  אני נוסע לקאראקאס לכמה ימים,To my cabin I've got a better idea I'm going down to Barranquilla then Caracas for a few days ,I'm going to my cabin for a good interview. I'm going to Caracas for a few days,67
739,הייתירוצהשתטיסאותילשם  אלוהים טיבי אני מחוץ למטוס רקחודשימים  ואתהלארוצהלטוסשוב ,We would like to wait for you but we gotta go ,Would you like me to fly for the sake of God Tibi?,62
740,אני לא יכול טיבי ,I can't Tibey ,I can not Tibi,81
741,אני מבין ,I understand ,I understand,100
742,אפילו תענוגות פשוטים יכולים להפוךלסםלפעמים  אזמתיאתההולךלקבינהשלך ,Even simple pleasures can become like a drug sometimes When do you go to your cabin then ,Even simple pleasures can turn into a drug that sometimes causes you to go to your own cabin,79
743,בבוקר כולנונוסעיםבבוקר  אנילקאראקאס אישתילמיאמי  ואתה ידידי היקר לאגוהפריאטה  איפהשאפילומקסיקנילאילךלבדו  ,- In the morning - We all go in the morning I go to Caracas my wife to Miami and you my dear friend to Agua Prieta where even a Mexican feels lonely ,In the morning we all travel in the morning Anilkarakas Ishtilmiami and you are my dear friend to the Aguapriata,68
744,כפישהבטחתי  תיסע לאיטליה שתנסה את הרובים ,As I promised Go to Italy to fit the guns ,When I promised I would go to Italy to try the guns,74
745,ג'יי שלום  אנינוסעתרק לסופשבוע  ,Goodbye I'm only going for the weekend ,Jay Hello I only travel for the weekend,65
746,-אז זה נהדר נכון ,- So it's great right ,-So it's great right,100
747,ומאזלאנגעובו  אתיודעתמה ,- I'm not angry - I don't know what to do - You don't know what to do ,And since they did not touch him you know what,61
748,- אנחנו נעשה הכל פה   רוק תעוף!,We're going to do everything here Get out Rock ,- We'll do everything here Flying Rock!,76
749,לא אדוני אני יריתי בפיל הזה ואני אזכורעלמה הייתההמלחמההזאת   עלמההיאהייתה ,"""No sir I shot the elephant and I got to remember what this war was all about "" And what was it all about ",No sir I'm shooting this elephant and I will remember a maiden was this war maiden was her,67
750,אנילאיודע  להרוג דברים שלא התכוונת   דבריםשלאחשבתאליהם  ,I don't know Just killing things you didn't mean to And you hadn't thought it out ,I do not know how to kill things that you did not mean to think of,71
751,אתהאוהבאותי ,Do you love me ,you love Me,88
752,אף פעם לא רציתי לאהוב אותך ,Miryea I never wanted to love you ,I never wanted to love you,88
753,זאתלאתשובה  ,That's not an answer ,This is the answer,63
754,תגיד את זה תגידשאתהאוהבאותי  אניאגידאת זה בשבילך  ,Say it Say you love me I'll say it for you ,"Say it, say it, you love me, I love it for you",87
755,""" מיראיה אני אוהב אותך""","""Miryea I love you ""","""Miraya I love you""",94
756,""" מיראיה אני אוהב אותך""","""Miryea I love you ""","""Miraya I love you""",94
757,אין לי לאן ללכת,Now I have nowhere to go ,I have nowhere to go,91
758,- זה לא נכון   את לא צריכה ללכת לשום מקום,That's not true You don't have to go anywhere ,- It's not true you should not go anywhere,71
759,תקימואותו  אנירוצהשתיראהמהקורה לזונות  ,Get him up I want you to see what happens to whores ,Pick it up I want you to see what happens to prostitutes,71
760,אתרוצהלהזדיין ,You want to fuck ,I would like to fuck,61
761,יזיינואותך50 פעםביום  עדשתמותי!,You will be fucked 50 times a day  -   before you die ,Fuck you 50 times on the day I died!,63
762,זהלארחוקמכאן  ידידי אתה לא תהפוך לאריה ההרים תוךכמהימים  ,Just a little further But compadre you don't become a mountain lion in just a few days ,It's far from here my friend you will not become a mountain lion in a few days,62
763,אתה יודע ידידי אני חושב שזה טוב שאתה עוזב ,You know compadre I think it's good that you are leaving ,You know my friend I think it's good you're leaving,79
764,אתהכברלא סוד  זהגרםלך לבעיות ,You're not a secret anymore Does that make trouble for you ,You are no longer a secret that has caused you problems,65
765,לאלי  אבל יש אנשים שמסתובבים ושואלים שאלות על אמריקני שיכול להיות מת או חי ,Oh not for me but now there are men going around asking questions of an American who may or may not be dead ,Eli but there are people who go around asking questions about an American who may be dead or alive,71
766,הגבול לא מהווה לבעיה כאן ,The border is not that far from here ,The border is not a problem here,68
767,אני חושב שכדאי שתלך לשם ,I think you'd better go there ,I think you should go there,71
768,אחרת  אתהאףפעםלאתצאממקסיקוחי  תודה אבל יש מישהו שאני חייב למצוא,Otherwise you'll never get out of Mexico alive Thank you but there's someone I have to find ,Otherwise you're never going to meet a Mexican thanksgiving but there's someone I must find,74
769,טיברון מנדז נמצא בדוראנגו יכוללהיותשהיאשם  ,Tiburon Mendez is in Durango She might be there ,Tibron Mendez found in Durango could be blamed,60
770,אני רוצה שתיקח את זה ,I want you to have this ,I want you to take it,73
771,אל תדאג אני שומר לעצמי מה שאני צריך ,Don't worry I'm keeping what I need ,Do not worry I keep to myself what I need,82
772,אני  אסיר תודה על מה שעשית ,I'm grateful for what you've done ,I'm grateful for what you did,87
773,אתהיודעמשהו ,You know something ,You know something,100
774,אניאפילולא יודעאתשמך ,I don't know your first name ,I do not even know your name,79
775,-בעוד שעה בערך ,In about an hour ,- In about an hour,100
776,היא יפה ,She's beautiful ,She is beautiful,97
777,היאדומהלאמאשלה   ג'יי ישלי משהובשבילך  ,You should have seen her mother Jay I got something for you ,She's like her mom Jay I have something for you,75
778,הכנתי אותו בעצמי בדיוק בשביל לחתוך את הביצים של האויב שלך,I made it myself Perfect for cutting the balls off your enemy ,I made it myself just to cut your enemy's eggs,65
779,אתהבסדר ,- You sure ,Are you okay,60
780,אתהבטוח ,- You sure ,Are you sure,80
781,-כן תןלילעזורלך ,- Yeah - Here let me help you ,"- Yes, let me help you",82
782,תודה ,Thank you ,Thanks,67
783,כשהייתי ילד היה לנו סוס בלגי לא היה נכנס לטריילר אלא אם כן הכלב היה איתו  מהאתהאומר ,Well when I was a kid we had a Belgian stud Wouldn't trailer unless our dog went along No kidding ,When I was a kid we had a Belgian horse he would not have entered the trailer unless the dog was with him from the ethos,66
784,מהאתהאומרשנשתהמשהו ,Why didn't you say so ,From what you say we did something,65
785,בסדר ,Okay ,OK,67
786,אתהבטוחשאתהבסדר ,- You sure you're all right ,You're sure you'm fine,68
787,-כן כן,- Yeah yeah ,-Yes Yes,62
788,-לדוראנגו,Durango huh ,-Dorango,67
789,דורנגו אה ,Durango huh ,Durango ah,67
790,למהלאאמרתככה ,Why didn't you say so ,Why did you not say that?,80
791,תוכללנסועאיתיבכיף ,You can ride with me in comfort ,You can travel with me for fun,79
792,אתה לא רוצה לנסוע באוטובוס במדינה הזאת ,You don't wanna ride no bus down in this country ,You do not want to travel by bus in this country,71
793,אמיגו לךתזדיין אמיגו!,Fuck you amigo ,Amigo Go fuck Amigo!,73
794,אתה בסדר ,- You sure ,Are you okay,60
795,-כן אני בסדר גמור הדברהזהיכוללנסועיותר מהר ,- Yeah I'm fine - It looks like I picked me a winner This thing go any faster ,-Yes I'm fine this thing can travel faster,60
796,בטוחשאתהלא רוצהלבוא ,Sure you don't want to come ,Sure you do not want to come,91
797,קלטתיאותך  אתה לא רוצה לערב אתהעינייניםשלךעםתענוגות  ,I gotcha You don't want to mix your pleasures ,You did not want to involve your own affairs with pleasures,63
798,בטוחשלאתרצהלבוא ,Sure you don't want to come ,Surely you will not want to come,78
799,-כן אני חושב שאני אעבוד על הסוס ,No I think I'll walk the horse ,-Yes I think I'll work on the horse,84
800,תאחלליהצלחה  תעוףכבר רומאו  ,Wish me luck - Shut the door Romeo ,Wish me success flying already Romeo,62
801,תעזרי לי,Help me ,help me,100
802,-אני לא רוצה את זה,I don't want it ,-I do not want it,90
803,היי למהאתהישן כאן ,Hey what are you sleeping out here for ,Hey why are you sleeping here,84
804,עשיתיאתזה !,I did it ,I did it !,100
805,איךאנינראהמותק ,How do I look man ,How I look baby,69
806,כמוהשורדהאחרון!,Like a survivor baby ,Like the last survivor!,71
807,אמרתי לו שיביא את הכסף לכאן,God I told him to bring the money out here ,I told him to bring the money here,89
808,אנימביןאת הדאגהשלך ,I sympathize with your concern ,I understand your concern,62
809,פשוט תחזור על אותו דבר לכל מי שיטריד אותכם והם  ,Just repeat this name to anybody who might bother you ,Just repeat the same thing to anyone who bothers you and them,70
810,יחרבנו במכנסיים ויברחו כמו ארנבים ,They'll shit down their pants and run like rabbits ,We will be destroyed in our pants and run away like rabbits,62
811,בסדר ,Okay ,OK,67
812,קשה להאשים אותו את האמת ,Hard to blame him really ,It's hard to blame him for the truth,63
813,שאתןהוראהלהרוגאותו ,Shall I have him killed ,That I will give an order to kill him,67
814,אתהלאיודעאיפההוא ,You don't know where he is ,You do not know where he is,94
815,אזאיךתהרוגאותו ,How you gonna kill him ,So how do you kill him?,82
816,אניאפילולא יודעמהמשמעותהמילה   היי אני צריך חדר ,I don't even know what the word means Hi I'd like a room ,I do not even know what the word hi I need a room,84
817,אני מצטער אדון יש לנו להקת רוק שתפסהאתכל החדרים  אניממשצריךחדר   טוב נזכרתישישליאחדפנוי  אבלהואלא לגמרימרוהט  ,We have a rock and roll band staying All the singles are taken Look I'd really like a room ,"I'm sorry sir, we have a rock band that has taken over all the rooms. I really need a good room.",71
818,- אני אקח אותו ,- Okay I'll take it ,- I'll take him,73
819,תחתום הנה בבקשה וברוךהבא  אני רוצה את החתול המזויין שלי ממשעכשיו!,- Sign please and welcome I want my goddamn cat pronto ,Sign here please and welcome I want my fucking cat from now on!,72
820,משאירה את הדלת פתוחה והחתול ברח ,She opens the door The cat got out ,Leaving the door open and the cat ran away,63
821,אז אם אני אמצא אותה  אניאירהבבתזונהאתהמבין ,If I had a gun I would shoot her You understand ,So if I find her I will illuminate the diet you understand,69
822,שמישהויעזורלי ,Help me ,Someone help me,64
823,אני כל כך שמחה  ,Oh I'm so happy ,I am so happy,71
824,מר קוקראן ,Mr Cochran ,Mr. Cockran,90
825,ג'ונסון,Johnson ,Johnson,100
826,אתה יודע שזה טיפשי להשאיר אתהטריילרשל הסוס  מה אתה רוצה ,It was foolish to keep the horse trailer - What do you want ,You know it's stupid to leave the trailer to the horse what you want,67
827,בשבילי כלום ,- For myself nothing ,For me nothing,88
828,אזתדפוקעל דלתאחרת  שמי אמאדור מר ,Then knock on another door My name is Amador Mr Cochran ,I'm knocking on another door,60
829,לא אכפת לי ,I'm not a cowboy ,I do not care,62
830,-הוא אמר שהוא נתן לך סכין ,- He said he gave you a knife huh ,- He said he gave you a knife,93
831,אל תשחק איתי משחקים שאלתי אותך שאלה ,Don't play games with me I asked you a question ,Do not play games with me I asked you a question,93
832,טוב מאורו אומר שאתה מחפש את אישתושל  טיברון מנדז ,Well Mauro says you're looking for the wife of Tiburon Mendez - That's a very brave but foolish gesture ,Good Mauro says you're looking for the Tibron Mendez woman,64
833,רכילויותממקסיקסיקנים  ,Mexican gossip ,Mexican gossip,100
834,אשיג לך מידע יותר מדוייק בקרוב ,I'll have better information for you soon ,I'll get you more accurate information soon,71
835,לעזעזל שאלתי אותך שאלה  ,Goddamn it I asked you a question ,Damn I asked you a question,90
836,היאבחיים ,Is she alive ,She's alive,96
837,כן היא בחיים,Yes she's alive ,Yes she's alive,100
838,תראה אני יודע עליך שמעתי אתהסיפורשלך  שמעתאתהסיפורשלי ,Look I know about you I know your story - You know my story ,"Look, I know about you. I heard you told your story",77
839,היא הייתה באמצע של איזה סיסכוך שהיה מעורב שם טיברוןמנדז  והיאנהרגה  זהקרהלפניהרבהזמן  אתה יודע ,She got caught up in some business involving Tiburon Mendez And she was killed It happened a long time ago ,"She was in the middle of some quarrel that involved Tiberon Mendes and she was killed in the cold before her for a long time, you know.",62
840,לא תוכל להרוג בן-אדם כמו מנדז ולצפות שתצא מזה בחיים ,You can't kill a man like Mendez and get out of here alive ,You can not kill a person like Mendez and expect her to come out of it alive,78
841,אני רק רוצה את הבחורה ,I just want the girl ,I just want the girl,100
842,יש סיכוי שנגיע אליה אבל אתה חייב להקשיב לי ,There's a chance we can get her But you gotta listen to me ,There's a chance we'll get to her but you must listen to me,82
843,אבל לא אוכל להבטיח שאקשיבלךלהרבהזמן   יש סיכוי טוב שכמה אנשים כבר יודעים שאני כאן ,I'II listen but I can't guarantee how long There's a good chance some people already know I'm here ,But I can not guarantee that I will be able to for a long time there is a good chance that some people already know that I am here,73
844,חכה לי אחזור יותר מאוחר הלילה ,Wait for me I'll be back later tonight ,Wait for me to come back later tonight,84
845,אם תרצה לצאת צא לבר ,Sure you don't want to come ,If you want to go out go to the bar,65
846,-תלמד להירגע,You gotta learn to relax ,- You will learn to relax,77
847,-אני לא קאובואי,I'm not a cowboy ,- I'm not a cowboy,100
848,רוצהלהדליקלי את הסיגריה ,You want to light my cigarette ,Want to light my cigarette,93
849,סליחה אני רק מנסה לנהל שיחהמנומסת  ,Sorry I'm just trying to make polite conversation ,Sorry I'm just trying to have a polite conversation,88
850,זה משהו שאני אף פעם לא הועשמתי בו ,Shy is something I have never been accused of ,This is something I have never been disgusted with,63
851,אםתלך אניאעשהפהסקנדאל  רוצה לבוא ,I'm going there myself You don't have to come ,"If I go, I'm going to make the scandal want to come",63
852,-אני סיימתי ,- I'm done ,-I'm done,100
853,אל תעזוב אותי עכשיו ,Don't leave me now ,Do not leave me now,81
854,-ידעתי שתגיד את זה ,Yeah that would be good ,- I knew you would say that,62
855,הייתי מגודרת כמתה ב 1982,I was certified dead in 1982 ,I was fenced off in 1982,69
856,- רוצה לשתות משהו ,You want a drink now ,- Want to drink something,60
857,-לא ,No ,-No,100
